product_category_name_english,revenue,orders,items,avg_price,avg_freight
health_beauty,1253993.86,8791,9619,130.3663436947708,18.88110718369893
watches_gifts,1201645.44,5619,5986,200.74263949214833,16.777168392916806
bed_bath_table,1036509.6900000001,9412,11107,93.32040064823985,18.417705050868822
sports_leisure,984715.33,7701,8622,114.20961841800046,19.486666666666668
computers_accessories,910555.0,6671,7806,116.64809121188829,18.82876120932616
furniture_decor,723881.71,6397,8265,87.58399395039322,20.74308166969147
cool_stuff,634179.85,3624,3788,167.41812302006335,22.128561246040128
housewares,630961.59,5875,6952,90.75972238204832,20.985851553509782
auto,590886.86,3886,4223,139.9211129528771,21.84226852948141
garden_tools,483896.58,3513,4342,111.44555043758636,22.767719944725933
toys,479481.51,3861,4090,117.23264303178485,18.80316870415648
baby,410134.73,2874,3051,134.42632907243527,22.341589642740086
perfumery,393436.17,3132,3386,116.19497046662728,15.853130537507383
telephony,323107.95,4189,4534,71.26333259814733,15.674091310101456
office_furniture,272659.82,1267,1685,161.81591691394658,40.52538872403561
stationery,230943.23,2311,2517,91.75336909018674,18.592959872864522
computers,222963.13,181,203,1098.3405418719212,48.45467980295566
pet_shop,213625.73,1706,1943,109.9463355635615,20.31655172413793
musical_instruments,191498.88,628,680,281.616,27.409544117647062
small_appliances,190648.58,630,679,280.7784683357879,23.593888070692195
unknown,179469.39,1449,1601,112.09830730793256,17.576377264209867
electronics,158939.75,2548,2765,57.48273056057866,16.83100904159132
consoles_games,153582.96,1052,1127,136.27591836734692,17.409813664596275
fashion_bags_accessories,152304.34,1855,2021,75.36088075210291,15.483963384463138
construction_tools_construction,144677.59,748,929,155.7347578040904,22.22864370290635
luggage_accessories,140429.98,1034,1092,128.5988827838828,27.880247252747253
home_appliances_2,113317.74,234,238,476.1249579831933,44.53857142857143
home_construction,83088.12,490,604,137.56311258278146,22.901059602649006
home_appliances,80171.53,764,771,103.98382619974059,19.220363164721142
agro_industry_and_commerce,72530.47,182,212,342.12485849056606,27.56415094339623
furniture_living_room,68916.56,422,503,137.0110536779324,35.72200795228628
fixed_telephony,58878.12,212,259,227.32864864864865,17.63799227799228
home_confort,58572.04,397,434,134.95861751152074,19.588087557603686
air_conditioning,53317.87,248,287,185.77655052264808,22.827212543554005
audio,50531.51,348,362,139.58980662983427,15.702762430939226
small_appliances_home_oven_and_coffee,47445.71,75,76,624.2856578947368,36.15605263157895
books_general_interest,46737.38,511,552,84.66916666666665,16.6131884057971
kitchen_dining_laundry_garden_furniture,46183.37,247,280,164.94060714285715,42.778464285714286
construction_tools_lights,41080.0,244,304,135.1315789473684,24.94671052631579
construction_tools_safety,40544.52,167,194,208.9923711340206,20.201546391752576
industry_commerce_and_business,39310.01,232,264,148.90155303030303,29.586060606060606
food,29313.51,449,509,57.59039292730844,14.252848722986247
market_place,27072.28,273,298,90.84657718120805,17.392852348993287
costruction_tools_garden,25715.89,194,238,108.04995798319328,22.316806722689073
art,24202.64,202,209,115.8021052631579,19.35488038277512
fashion_shoes,23532.78,239,261,90.16390804597701,18.804252873563218
drinks,22428.7,297,379,59.178627968337736,15.148416886543536
signaling_and_security,21509.23,140,199,108.08658291457286,32.70261306532664
furniture_bedroom,20028.78,95,109,183.75027522935778,42.49752293577981
books_technical,18829.06,259,266,70.78593984962407,15.97827067669173
costruction_tools_tools,15903.95,97,103,154.40728155339806,19.710873786407767
food_drink,15179.48,227,278,54.602446043165465,16.215791366906473
fashion_male_clothing,10772.92,111,131,82.23603053435114,16.346946564885496
fashion_underwear_beach,9541.55,121,131,72.83625954198473,14.627404580152673
christmas_supplies,8800.82,128,153,57.52169934640523,21.106535947712416
tablets_printing_image,7528.41,79,83,90.70373493975903,14.773493975903614
cine_photo,6933.46,65,72,96.29805555555555,17.447222222222223
music,6034.35,38,38,158.79868421052632,18.171315789473685
dvds_blu_ray,5999.39,59,64,93.74046875,20.1365625
books_imported,4639.85,53,60,77.33083333333335,12.830833333333334
party_supplies,4485.18,39,43,104.30651162790699,19.255116279069767
furniture_mattress_and_upholstery,4368.08,38,38,114.94947368421053,42.90684210526316
portable_kitchen_food_processors,3968.5299999999997,14,15,264.5686666666667,20.650666666666666
fashio_female_clothing,2748.7400000000002,38,47,58.48382978723405,12.91531914893617
fashion_sport,2119.51,27,30,70.65033333333334,19.271
la_cuisine,2054.99,13,14,146.785,23.825
arts_and_craftmanship,1814.01,23,24,75.58375,15.422083333333333
pc_gaming,1545.95,8,9,171.77222222222224,14.841111111111111
diapers_and_hygiene,1432.69,26,38,37.70236842105263,14.67342105263158
flowers,1110.04,29,33,33.63757575757575,14.814242424242424
home_comfort_2,760.27,24,30,25.342333333333332,13.677
cds_dvds_musicals,730.0,12,14,52.142857142857146,16.070714285714285
fashion_childrens_clothes,569.85,8,8,71.23125,11.93875
security_and_services,283.28999999999996,2,2,141.64499999999998,20.61
